1788271664.743630685 NODE_SCRIPT_START
1788271667.408122895 WATCH_START pid=133241
1788271667.409868460 POLL pid=133241 state=ALIVE
1788271667.612878605 POLL pid=133241 state=ALIVE
1788271667.818106743 POLL pid=133241 state=ALIVE
1788271668.021461726 POLL pid=133241 state=ALIVE
1788271668.227007235 POLL pid=133241 state=ALIVE
1788271668.431193551 POLL pid=133241 state=ALIVE
1788271668.636725839 POLL pid=133241 state=ALIVE
1788271668.839700381 POLL pid=133241 state=ALIVE
1788271669.054563696 POLL pid=133241 state=ALIVE
1788271669.260505279 POLL pid=133241 state=ALIVE
1788271669.464695407 POLL pid=133241 state=ALIVE
1788271669.669266768 POLL pid=133241 state=ALIVE
1788271669.874526666 POLL pid=133241 state=ALIVE
1788271670.078322966 POLL pid=133241 state=ALIVE
1788271670.287543200 POLL pid=133241 state=ALIVE
1788271670.490259170 POLL pid=133241 state=ALIVE
1788271670.696841364 POLL pid=133241 state=ALIVE
1788271670.904101379 POLL pid=133241 state=ALIVE
1788271671.110904227 POLL pid=133241 state=ALIVE
1788271671.314286566 POLL pid=133241 state=ALIVE
1788271671.517941840 POLL pid=133241 state=ALIVE
1788271671.721899869 POLL pid=133241 state=ALIVE
1788271671.925444006 POLL pid=133241 state=ALIVE
1788271672.130023858 POLL pid=133241 state=ALIVE
1788271672.333036216 POLL pid=133241 state=ALIVE
1788271672.535921683 POLL pid=133241 state=ALIVE
1788271672.740087506 POLL pid=133241 state=DEAD
1788271672.742323068 DEATH_DETECTED pid=133241
1788271672.949503738 POLL pid=133241 state=DEAD
1788271673.155050547 POLL pid=133241 state=DEAD
1788271673.270127308 NODE_SCRIPT_EXIT code=0
1788271673.358095348 POLL pid=133241 state=DEAD
1788271673.561421843 POLL pid=133241 state=DEAD
1788271673.764820606 POLL pid=133241 state=DEAD
1788271673.967857887 POLL pid=133241 state=DEAD
1788271674.178795943 POLL pid=133241 state=DEAD
1788271674.382386165 POLL pid=133241 state=DEAD
1788271674.585575727 POLL pid=133241 state=DEAD
1788271674.789096696 POLL pid=133241 state=DEAD
1788271674.992586256 POLL pid=133241 state=DEAD
1788271675.196264461 POLL pid=133241 state=DEAD
1788271675.404677768 POLL pid=133241 state=DEAD
1788271675.612860914 POLL pid=133241 state=DEAD
1788271675.816646393 POLL pid=133241 state=DEAD
1788271676.020636018 POLL pid=133241 state=DEAD
1788271676.224150801 POLL pid=133241 state=DEAD
1788271676.432647650 POLL pid=133241 state=DEAD
1788271676.637595994 POLL pid=133241 state=DEAD
1788271676.842434631 POLL pid=133241 state=DEAD
1788271677.047216104 POLL pid=133241 state=DEAD
1788271677.253334464 POLL pid=133241 state=DEAD
1788271677.458337507 POLL pid=133241 state=DEAD
1788271677.663018697 POLL pid=133241 state=DEAD
1788271677.867505993 POLL pid=133241 state=DEAD
1788271678.071114452 POLL pid=133241 state=DEAD
1788271678.278907388 POLL pid=133241 state=DEAD
1788271678.283611795 POSTCHECK +5s pid=133241 state=DEAD
1788271678.486490250 POLL pid=133241 state=DEAD
1788271678.689804918 POLL pid=133241 state=DEAD
1788271678.893638376 POLL pid=133241 state=DEAD
1788271679.097995566 POLL pid=133241 state=DEAD
1788271679.313578717 POLL pid=133241 state=DEAD
1788271679.521303823 POLL pid=133241 state=DEAD
1788271679.725824977 POLL pid=133241 state=DEAD
1788271679.929554509 POLL pid=133241 state=DEAD
1788271680.134923084 POLL pid=133241 state=DEAD
1788271680.338619143 POLL pid=133241 state=DEAD
1788271680.542493656 POLL pid=133241 state=DEAD
1788271680.746279992 POLL pid=133241 state=DEAD
1788271680.956046276 POLL pid=133241 state=DEAD
1788271681.164525306 POLL pid=133241 state=DEAD
1788271681.372455435 POLL pid=133241 state=DEAD
1788271681.577166899 POLL pid=133241 state=DEAD
1788271681.779907241 POLL pid=133241 state=DEAD
1788271681.982622978 POLL pid=133241 state=DEAD
1788271682.187727934 POLL pid=133241 state=DEAD
1788271682.399921023 POLL pid=133241 state=DEAD
1788271682.608286638 POLL pid=133241 state=DEAD
1788271682.812624612 POLL pid=133241 state=DEAD
1788271683.019269005 POLL pid=133241 state=DEAD
1788271683.223716235 POLL pid=133241 state=DEAD
1788271683.296722075 POSTCHECK +10s pid=133241 state=DEAD
1788271683.430102673 POLL pid=133241 state=DEAD
1788271683.637035221 POLL pid=133241 state=DEAD
1788271683.847184951 POLL pid=133241 state=DEAD
