1788271750.553381414 NODE_SCRIPT_START
1788271753.218291243 WATCH_START pid=134083
1788271753.220042265 POLL pid=134083 state=ALIVE
1788271753.422968127 POLL pid=134083 state=ALIVE
1788271753.627732196 POLL pid=134083 state=ALIVE
1788271753.832023528 POLL pid=134083 state=ALIVE
1788271754.036393748 POLL pid=134083 state=ALIVE
1788271754.243811395 POLL pid=134083 state=ALIVE
1788271754.454064006 POLL pid=134083 state=ALIVE
1788271754.659102184 POLL pid=134083 state=ALIVE
1788271754.861940486 POLL pid=134083 state=ALIVE
1788271755.065331927 POLL pid=134083 state=ALIVE
1788271755.270782664 POLL pid=134083 state=ALIVE
1788271755.479871276 POLL pid=134083 state=ALIVE
1788271755.682882598 POLL pid=134083 state=ALIVE
1788271755.891014929 POLL pid=134083 state=ALIVE
1788271756.095182881 POLL pid=134083 state=ALIVE
1788271756.299544501 POLL pid=134083 state=ALIVE
1788271756.503820585 POLL pid=134083 state=ALIVE
1788271756.708579566 POLL pid=134083 state=ALIVE
1788271756.912023569 POLL pid=134083 state=ALIVE
1788271757.116784695 POLL pid=134083 state=ALIVE
1788271757.321766830 POLL pid=134083 state=ALIVE
1788271757.525243188 POLL pid=134083 state=ALIVE
1788271757.728075949 POLL pid=134083 state=ALIVE
1788271757.930660829 POLL pid=134083 state=ALIVE
1788271758.133297383 POLL pid=134083 state=ALIVE
1788271758.335903558 POLL pid=134083 state=ALIVE
1788271758.540897987 POLL pid=134083 state=ALIVE
1788271758.750501360 POLL pid=134083 state=ALIVE
1788271758.953883332 POLL pid=134083 state=ALIVE
1788271759.158720907 POLL pid=134083 state=ALIVE
1788271759.363501951 POLL pid=134083 state=ALIVE
1788271759.567033273 POLL pid=134083 state=ALIVE
1788271759.771896361 POLL pid=134083 state=DEAD
1788271759.773820371 DEATH_DETECTED pid=134083
1788271759.978255950 POLL pid=134083 state=DEAD
1788271760.181593610 POLL pid=134083 state=DEAD
1788271760.211960561 NODE_SCRIPT_EXIT code=1
1788271760.388500113 POLL pid=134083 state=DEAD
1788271760.595357648 POLL pid=134083 state=DEAD
1788271760.799981289 POLL pid=134083 state=DEAD
1788271761.002856232 POLL pid=134083 state=DEAD
1788271761.211821886 POLL pid=134083 state=DEAD
1788271761.423018352 POLL pid=134083 state=DEAD
1788271761.626364803 POLL pid=134083 state=DEAD
1788271761.832689877 POLL pid=134083 state=DEAD
1788271762.037576279 POLL pid=134083 state=DEAD
1788271762.249146684 POLL pid=134083 state=DEAD
1788271762.454543493 POLL pid=134083 state=DEAD
1788271762.659479643 POLL pid=134083 state=DEAD
1788271762.863654984 POLL pid=134083 state=DEAD
1788271763.068221183 POLL pid=134083 state=DEAD
1788271763.274516474 POLL pid=134083 state=DEAD
1788271763.485303672 POLL pid=134083 state=DEAD
1788271763.688968704 POLL pid=134083 state=DEAD
1788271763.893039827 POLL pid=134083 state=DEAD
1788271764.097018809 POLL pid=134083 state=DEAD
