1788271833.312909020 NODE_SCRIPT_START
1788271835.979521017 WATCH_START pid=134900
1788271835.980705944 POLL pid=134900 state=ALIVE
1788271836.184717714 POLL pid=134900 state=ALIVE
1788271836.389138490 POLL pid=134900 state=ALIVE
1788271836.591677312 POLL pid=134900 state=ALIVE
1788271836.795287487 POLL pid=134900 state=ALIVE
1788271837.008513956 POLL pid=134900 state=ALIVE
1788271837.214802708 POLL pid=134900 state=ALIVE
1788271837.418430618 POLL pid=134900 state=ALIVE
1788271837.624035349 POLL pid=134900 state=ALIVE
1788271837.827233942 POLL pid=134900 state=ALIVE
1788271838.031772049 POLL pid=134900 state=ALIVE
1788271838.238089873 POLL pid=134900 state=ALIVE
1788271838.442081944 POLL pid=134900 state=ALIVE
1788271838.649424857 POLL pid=134900 state=ALIVE
1788271838.863779389 POLL pid=134900 state=ALIVE
1788271839.067577215 POLL pid=134900 state=ALIVE
1788271839.275822410 POLL pid=134900 state=ALIVE
1788271839.479408465 POLL pid=134900 state=ALIVE
1788271839.689870726 POLL pid=134900 state=ALIVE
1788271839.898015529 POLL pid=134900 state=ALIVE
1788271840.103116145 POLL pid=134900 state=ALIVE
1788271840.316927911 POLL pid=134900 state=ALIVE
1788271840.520322262 POLL pid=134900 state=ALIVE
1788271840.731539830 POLL pid=134900 state=ALIVE
1788271840.934427416 POLL pid=134900 state=ALIVE
1788271841.140504275 POLL pid=134900 state=ALIVE
1788271841.344791529 POLL pid=134900 state=ALIVE
1788271841.549122516 POLL pid=134900 state=ALIVE
1788271841.752194075 POLL pid=134900 state=ALIVE
1788271841.955016193 POLL pid=134900 state=ALIVE
1788271842.158292764 POLL pid=134900 state=ALIVE
1788271842.362606184 POLL pid=134900 state=ALIVE
1788271842.566999816 POLL pid=134900 state=ALIVE
1788271842.769804520 POLL pid=134900 state=ALIVE
1788271842.973508190 POLL pid=134900 state=ALIVE
1788271843.177926418 POLL pid=134900 state=ALIVE
1788271843.385817615 POLL pid=134900 state=ALIVE
1788271843.592347724 POLL pid=134900 state=ALIVE
1788271843.797842899 POLL pid=134900 state=ALIVE
1788271844.006923141 POLL pid=134900 state=ALIVE
1788271844.212445740 POLL pid=134900 state=ALIVE
1788271844.415200277 POLL pid=134900 state=ALIVE
1788271844.621605266 POLL pid=134900 state=ALIVE
1788271844.825331188 POLL pid=134900 state=ALIVE
1788271845.031864170 POLL pid=134900 state=ALIVE
1788271845.240279860 POLL pid=134900 state=ALIVE
1788271845.443707394 POLL pid=134900 state=ALIVE
1788271845.648346437 POLL pid=134900 state=ALIVE
1788271845.852612050 POLL pid=134900 state=ALIVE
1788271846.055712527 POLL pid=134900 state=ALIVE
1788271846.260046607 POLL pid=134900 state=ALIVE
1788271846.465303446 POLL pid=134900 state=ALIVE
1788271846.669208902 POLL pid=134900 state=DEAD
1788271846.670371734 DEATH_DETECTED pid=134900
1788271846.873393364 POLL pid=134900 state=DEAD
1788271847.069699418 NODE_SCRIPT_EXIT code=0
1788271847.076593761 POLL pid=134900 state=DEAD
1788271847.280190725 POLL pid=134900 state=DEAD
1788271847.485747760 POLL pid=134900 state=DEAD
1788271847.701225389 POLL pid=134900 state=DEAD
1788271847.904897646 POLL pid=134900 state=DEAD
1788271848.110306206 POLL pid=134900 state=DEAD
1788271848.325115210 POLL pid=134900 state=DEAD
1788271848.534062362 POLL pid=134900 state=DEAD
1788271848.743228389 POLL pid=134900 state=DEAD
1788271848.961299581 POLL pid=134900 state=DEAD
1788271849.165598389 POLL pid=134900 state=DEAD
1788271849.370134130 POLL pid=134900 state=DEAD
1788271849.574758897 POLL pid=134900 state=DEAD
1788271849.779827511 POLL pid=134900 state=DEAD
1788271849.988291067 POLL pid=134900 state=DEAD
1788271850.191925610 POLL pid=134900 state=DEAD
1788271850.395272736 POLL pid=134900 state=DEAD
1788271850.601061133 POLL pid=134900 state=DEAD
1788271850.805797077 POLL pid=134900 state=DEAD
1788271851.015204853 POLL pid=134900 state=DEAD
1788271851.220743117 POLL pid=134900 state=DEAD
1788271851.427566169 POLL pid=134900 state=DEAD
1788271851.633891701 POLL pid=134900 state=DEAD
1788271851.849149395 POLL pid=134900 state=DEAD
1788271852.056823569 POLL pid=134900 state=DEAD
1788271852.074249569 POSTCHECK +5s pid=134900 state=DEAD
1788271852.260007469 POLL pid=134900 state=DEAD
1788271852.470582830 POLL pid=134900 state=DEAD
1788271852.679066538 POLL pid=134900 state=DEAD
1788271852.882957209 POLL pid=134900 state=DEAD
1788271853.086708496 POLL pid=134900 state=DEAD
1788271853.290053259 POLL pid=134900 state=DEAD
1788271853.495543992 POLL pid=134900 state=DEAD
1788271853.709213083 POLL pid=134900 state=DEAD
1788271853.914334791 POLL pid=134900 state=DEAD
1788271854.123138653 POLL pid=134900 state=DEAD
