1788273429.288597962 NODE_SCRIPT_START
1788273431.931250663 WATCH_START pid=140655
1788273431.932503355 POLL pid=140655 state=ALIVE
1788273432.435359479 POLL pid=140655 state=ALIVE
1788273432.938532677 POLL pid=140655 state=ALIVE
1788273433.440693623 POLL pid=140655 state=ALIVE
1788273433.943627576 POLL pid=140655 state=ALIVE
1788273434.446806075 POLL pid=140655 state=ALIVE
1788273434.949493886 POLL pid=140655 state=ALIVE
1788273435.451824375 POLL pid=140655 state=ALIVE
1788273435.954438541 POLL pid=140655 state=ALIVE
1788273436.456804117 POLL pid=140655 state=ALIVE
1788273436.959348262 POLL pid=140655 state=ALIVE
1788273437.461691527 POLL pid=140655 state=ALIVE
1788273437.964565369 POLL pid=140655 state=ALIVE
1788273438.467283227 POLL pid=140655 state=ALIVE
1788273438.969627468 POLL pid=140655 state=ALIVE
1788273439.471517966 POLL pid=140655 state=ALIVE
1788273439.973650789 POLL pid=140655 state=ALIVE
1788273440.476788498 POLL pid=140655 state=DEAD
1788273440.477832701 DEATH_DETECTED pid=140655
1788273440.790145121 NODE_SCRIPT_EXIT code=0
1788273440.979913659 POLL pid=140655 state=DEAD
1788273441.482227659 POLL pid=140655 state=DEAD
1788273441.985080087 POLL pid=140655 state=DEAD
1788273442.488710165 POLL pid=140655 state=DEAD
1788273442.991516120 POLL pid=140655 state=DEAD
1788273443.493979357 POLL pid=140655 state=DEAD
1788273443.996277312 POLL pid=140655 state=DEAD
1788273444.499009212 POLL pid=140655 state=DEAD
1788273445.001172917 POLL pid=140655 state=DEAD
1788273445.503362747 POLL pid=140655 state=DEAD
1788273445.794556286 POSTCHECK +5s pid=140655 state=DEAD
1788273446.005781593 POLL pid=140655 state=DEAD
1788273446.508510680 POLL pid=140655 state=DEAD
1788273447.011010927 POLL pid=140655 state=DEAD
1788273447.513119751 POLL pid=140655 state=DEAD
1788273448.015586547 POLL pid=140655 state=DEAD
1788273448.518071252 POLL pid=140655 state=DEAD
1788273449.020476127 POLL pid=140655 state=DEAD
1788273449.523255168 POLL pid=140655 state=DEAD
1788273450.026466593 POLL pid=140655 state=DEAD
1788273450.529262929 POLL pid=140655 state=DEAD
1788273450.798694962 POSTCHECK +10s pid=140655 state=DEAD
1788273451.031634105 POLL pid=140655 state=DEAD
1788273451.534209541 POLL pid=140655 state=DEAD
1788273452.036538736 POLL pid=140655 state=DEAD
1788273452.539278864 POLL pid=140655 state=DEAD
1788273453.042303793 POLL pid=140655 state=DEAD
1788273453.544694042 POLL pid=140655 state=DEAD
1788273454.047568110 POLL pid=140655 state=DEAD
1788273454.549530200 POLL pid=140655 state=DEAD
1788273455.051695489 POLL pid=140655 state=DEAD
1788273455.554040040 POLL pid=140655 state=DEAD
1788273455.801952873 POSTCHECK +15s pid=140655 state=DEAD
1788273456.056634951 POLL pid=140655 state=DEAD
1788273456.558656662 POLL pid=140655 state=DEAD
1788273457.298234001 POLL pid=140655 state=DEAD
1788273457.801606542 POLL pid=140655 state=DEAD
1788273458.304798219 POLL pid=140655 state=DEAD
1788273458.807717969 POLL pid=140655 state=DEAD
1788273459.310568724 POLL pid=140655 state=DEAD
1788273459.813030502 POLL pid=140655 state=DEAD
1788273460.316388469 POLL pid=140655 state=DEAD
1788273460.818732540 POLL pid=140655 state=DEAD
1788273461.042289941 POSTCHECK +20s pid=140655 state=DEAD
1788273461.321009300 POLL pid=140655 state=DEAD
1788273461.824338492 POLL pid=140655 state=DEAD
1788273462.327120209 POLL pid=140655 state=DEAD
1788273462.829926414 POLL pid=140655 state=DEAD
1788273463.332684458 POLL pid=140655 state=DEAD
1788273463.835032036 POLL pid=140655 state=DEAD
1788273464.337547642 POLL pid=140655 state=DEAD
1788273464.839681376 POLL pid=140655 state=DEAD
1788273465.341741474 POLL pid=140655 state=DEAD
1788273465.844777297 POLL pid=140655 state=DEAD
