1788273726.213190067 NODE_SCRIPT_START
1788273728.654029502 WATCH_START pid=142788
1788273728.655004280 POLL pid=142788 state=ALIVE
1788273729.157313387 POLL pid=142788 state=ALIVE
1788273729.659645449 POLL pid=142788 state=ALIVE
1788273730.162319847 POLL pid=142788 state=ALIVE
1788273730.664535434 POLL pid=142788 state=ALIVE
1788273731.167032762 POLL pid=142788 state=ALIVE
1788273731.669367969 POLL pid=142788 state=ALIVE
1788273732.171862728 POLL pid=142788 state=ALIVE
1788273732.674390146 POLL pid=142788 state=ALIVE
1788273733.176492455 POLL pid=142788 state=ALIVE
1788273733.678873545 POLL pid=142788 state=ALIVE
1788273734.181622105 POLL pid=142788 state=ALIVE
1788273734.684252468 POLL pid=142788 state=ALIVE
1788273735.187503791 POLL pid=142788 state=ALIVE
1788273735.690042228 POLL pid=142788 state=ALIVE
1788273736.192600078 POLL pid=142788 state=ALIVE
1788273736.695915161 POLL pid=142788 state=ALIVE
1788273737.198505264 POLL pid=142788 state=ALIVE
1788273737.700984390 POLL pid=142788 state=ALIVE
1788273738.203629843 POLL pid=142788 state=ALIVE
1788273738.706120468 POLL pid=142788 state=ALIVE
1788273738.782755500 NODE_SCRIPT_EXIT code=0
1788273739.208512295 POLL pid=142788 state=ALIVE
1788273739.711713952 POLL pid=142788 state=DEAD
1788273739.712829120 DEATH_DETECTED pid=142788
1788273740.215335883 POLL pid=142788 state=DEAD
1788273740.717583428 POLL pid=142788 state=DEAD
1788273741.219942659 POLL pid=142788 state=DEAD
1788273741.722964682 POLL pid=142788 state=DEAD
1788273742.225891786 POLL pid=142788 state=DEAD
1788273742.729548170 POLL pid=142788 state=DEAD
1788273743.232349012 POLL pid=142788 state=DEAD
1788273743.735042969 POLL pid=142788 state=DEAD
1788273743.786715300 POSTCHECK +5s pid=142788 state=DEAD
1788273744.237538193 POLL pid=142788 state=DEAD
1788273744.740227518 POLL pid=142788 state=DEAD
1788273745.242891797 POLL pid=142788 state=DEAD
1788273745.746363062 POLL pid=142788 state=DEAD
1788273746.249543261 POLL pid=142788 state=DEAD
1788273746.752563657 POLL pid=142788 state=DEAD
1788273747.255129640 POLL pid=142788 state=DEAD
1788273747.757876213 POLL pid=142788 state=DEAD
1788273748.260855880 POLL pid=142788 state=DEAD
1788273748.763620145 POLL pid=142788 state=DEAD
1788273748.789793210 POSTCHECK +10s pid=142788 state=DEAD
1788273749.265796068 POLL pid=142788 state=DEAD
1788273749.768035515 POLL pid=142788 state=DEAD
1788273750.270438974 POLL pid=142788 state=DEAD
1788273750.773452693 POLL pid=142788 state=DEAD
1788273751.276172365 POLL pid=142788 state=DEAD
