1788274270.972117875 server=146455 uv=146435 cli=146397
1788274273.975053495 PRECHECK server=alive uv=alive cli=alive
1788274273.977896811 KILL_CLI
1788274273.997575143 POLL uv=alive server=alive elapsed=0.00s
1788274274.293044875 POLL uv=dead server=dead elapsed=0.30s
1788274274.545693630 POLL uv=dead server=dead elapsed=0.55s
1788274274.798994567 POLL uv=dead server=dead elapsed=0.81s
1788274275.051558756 POLL uv=dead server=dead elapsed=1.06s
1788274275.303178147 POLL uv=dead server=dead elapsed=1.31s
1788274275.553648804 POLL uv=dead server=dead elapsed=1.56s
1788274275.807151071 POLL uv=dead server=dead elapsed=1.81s
1788274276.058351166 POLL uv=dead server=dead elapsed=2.07s
1788274276.314283355 POLL uv=dead server=dead elapsed=2.32s
1788274276.564557358 POLL uv=dead server=dead elapsed=2.57s
1788274276.822600282 POLL uv=dead server=dead elapsed=2.83s
1788274277.073473645 POLL uv=dead server=dead elapsed=3.08s
1788274277.331964373 POLL uv=dead server=dead elapsed=3.34s
1788274277.584444595 POLL uv=dead server=dead elapsed=3.59s
1788274277.835099643 POLL uv=dead server=dead elapsed=3.84s
1788274278.085120230 POLL uv=dead server=dead elapsed=4.09s
1788274278.339542748 POLL uv=dead server=dead elapsed=4.35s
1788274278.595752279 POLL uv=dead server=dead elapsed=4.60s
1788274278.848457482 POLL uv=dead server=dead elapsed=4.86s
1788274279.105858530 POLL uv=dead server=dead elapsed=5.11s
1788274279.358426929 POLL uv=dead server=dead elapsed=5.37s
1788274279.612410925 POLL uv=dead server=dead elapsed=5.62s
1788274279.865207766 POLL uv=dead server=dead elapsed=5.87s
1788274280.115357684 POLL uv=dead server=dead elapsed=6.12s
1788274280.369966571 POLL uv=dead server=dead elapsed=6.38s
1788274280.632235164 POLL uv=dead server=dead elapsed=6.63s
1788274280.890807503 POLL uv=dead server=dead elapsed=6.90s
1788274281.146598576 POLL uv=dead server=dead elapsed=7.15s
1788274281.395937739 POLL uv=dead server=dead elapsed=7.40s
1788274281.650270472 POLL uv=dead server=dead elapsed=7.66s
1788274281.902999589 POLL uv=dead server=dead elapsed=7.91s
1788274282.155572575 POLL uv=dead server=dead elapsed=8.16s
1788274282.406629394 POLL uv=dead server=dead elapsed=8.42s
1788274282.656620272 POLL uv=dead server=dead elapsed=8.66s
1788274282.908351411 POLL uv=dead server=dead elapsed=8.92s
1788274283.160829579 POLL uv=dead server=dead elapsed=9.17s
1788274283.413349242 POLL uv=dead server=dead elapsed=9.42s
1788274283.667021606 POLL uv=dead server=dead elapsed=9.67s
1788274283.920823635 POLL uv=dead server=dead elapsed=9.93s
1788274284.179087245 POLL uv=dead server=dead elapsed=10.19s
1788274284.433288828 POLL uv=dead server=dead elapsed=10.44s
1788274284.683374034 POLL uv=dead server=dead elapsed=10.69s
1788274284.935654976 POLL uv=dead server=dead elapsed=10.94s
1788274285.186198764 POLL uv=dead server=dead elapsed=11.19s
1788274285.439651244 POLL uv=dead server=dead elapsed=11.45s
1788274285.694687173 POLL uv=dead server=dead elapsed=11.70s
1788274285.943955882 POLL uv=dead server=dead elapsed=11.95s
1788274286.198116971 POLL uv=dead server=dead elapsed=12.20s
1788274286.447511518 POLL uv=dead server=dead elapsed=12.46s
1788274286.700610245 POLL uv=dead server=dead elapsed=12.71s
1788274286.951083613 POLL uv=dead server=dead elapsed=12.96s
1788274287.206623663 POLL uv=dead server=dead elapsed=13.21s
1788274287.456398360 POLL uv=dead server=dead elapsed=13.47s
1788274287.708127491 POLL uv=dead server=dead elapsed=13.71s
1788274287.962503208 POLL uv=dead server=dead elapsed=13.97s
1788274288.216420593 POLL uv=dead server=dead elapsed=14.22s
1788274288.469612733 POLL uv=dead server=dead elapsed=14.48s
1788274288.729459551 POLL uv=dead server=dead elapsed=14.73s
1788274288.984909422 POLL uv=dead server=dead elapsed=14.99s
1788274289.239436651 POLL uv=dead server=dead elapsed=15.25s
